Date,Hour,From (Coordinates),To (Coordinates),Distance,Time (Usual),Time (Now),Time (Range)
2022-07-25,14-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 42 min
2022-07-25,14-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,31 min,27 - 41 min
2022-07-25,16-05,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,32 min,27 - 46 min
2022-07-25,16-05,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",37.7 km,36 min,40 min,34 min - 1 hr
2022-07-25,16-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,33 min,27 - 45 min
2022-07-25,16-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",37.9 km,36 min,43 min,36 min - 1 hr
2022-07-25,16-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,33 min,28 - 48 min
2022-07-25,16-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",37.7 km,36 min,48 min,38 min - 1 hr 6 min
2022-07-25,16-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,34 min,28 - 48 min
2022-07-25,16-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",37.7 km,36 min,50 min,37 min - 1 hr 6 min
2022-07-25,17-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,33 min,28 - 47 min
2022-07-25,17-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",37.7 km,36 min,51 min,38 min - 1 hr 7 min
2022-07-25,17-30,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,34 min,27 - 42 min
2022-07-25,17-30,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,48 min,36 min - 1 hr 1 min
2022-07-25,17-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,34 min,27 - 42 min
2022-07-25,17-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,48 min,36 min - 1 hr 1 min
2022-07-25,17-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 41 min
2022-07-25,17-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,43 min,33 - 53 min
