Date,Hour,From (Coordinates),To (Coordinates),Distance,Time (Usual),Time (Now),Time (Range)
2022-07-27,01-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-27,01-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-27,01-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-27,02-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-27,02-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-27,02-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-27,02-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,28 min,28 - 34 min
2022-07-27,02-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-27,02-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,28 min,27 - 33 min
2022-07-27,02-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-27,02-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-27,03-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-27,03-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-27,03-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-27,03-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-27,03-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-27,03-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-27,03-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-27,03-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,26 - 30 min
2022-07-27,04-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,27 min,26 - 31 min
2022-07-27,04-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-27,04-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,26 min,25 - 30 min
2022-07-27,04-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-27,04-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,26 min,25 - 31 min
2022-07-27,04-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,25 - 30 min
2022-07-27,04-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,27 min,25 - 32 min
2022-07-27,04-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-27,05-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,27 min,25 - 31 min
2022-07-27,05-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-27,05-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,27 min,26 - 33 min
2022-07-27,05-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,28 min,25 - 31 min
2022-07-27,05-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,27 - 34 min
2022-07-27,05-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,26 min,25 - 31 min
2022-07-27,05-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,29 - 41 min
2022-07-27,05-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,25 - 33 min
2022-07-27,06-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,34 min,34 - 57 min
2022-07-27,06-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,25 - 34 min
2022-07-27,06-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.1 km,35 min,41 min,36 min - 1 hr 11 min
2022-07-27,06-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,28 min,25 - 35 min
2022-07-27,06-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",38.1 km,37 min,45 min,40 min - 1 hr 3 min
2022-07-27,06-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,25 - 38 min
2022-07-27,06-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",38.6 km,43 min,46 min,40 min - 1 hr 9 min
2022-07-27,06-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 40 min
2022-07-27,07-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",38.6 km,43 min,52 min,41 min - 1 hr 21 min
2022-07-27,07-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,31 min,27 - 43 min
2022-07-27,07-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",38.6 km,43 min,56 min,43 min - 1 hr 21 min
2022-07-27,07-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,32 min,27 - 44 min
2022-07-27,07-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,58 min,43 min - 1 hr 17 min
2022-07-27,07-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,32 min,27 - 42 min
2022-07-27,07-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,54 min,39 min - 1 hr 11 min
2022-07-27,07-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,32 min,26 - 40 min
2022-07-27,08-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,50 min,38 min - 1 hr 6 min
2022-07-27,08-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,30 min,26 - 40 min
2022-07-27,08-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,49 min,36 - 59 min
2022-07-27,08-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 39 min
2022-07-27,08-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,45 min,34 - 53 min
2022-07-27,08-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 39 min
2022-07-27,08-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,43 min,31 - 49 min
2022-07-27,08-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 38 min
2022-07-27,09-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,42 min,30 - 45 min
2022-07-27,09-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,28 min,26 - 38 min
2022-07-27,09-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,35 min,29 - 44 min
2022-07-27,09-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 38 min
2022-07-27,09-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,34 min,28 - 41 min
2022-07-27,09-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,28 min,26 - 38 min
2022-07-27,09-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,28 - 41 min
2022-07-27,09-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 39 min
2022-07-27,10-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,32 min,27 - 41 min
2022-07-27,10-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 40 min
2022-07-27,10-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,34 min,27 - 42 min
2022-07-27,10-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 40 min
2022-07-27,10-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 41 min
2022-07-27,10-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 40 min
2022-07-27,10-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 42 min
2022-07-27,10-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 40 min
2022-07-27,11-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 41 min
2022-07-27,11-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 40 min
2022-07-27,11-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 41 min
2022-07-27,11-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 40 min
2022-07-27,11-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 41 min
2022-07-27,11-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 40 min
2022-07-27,11-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 41 min
2022-07-27,11-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,30 min,27 - 40 min
2022-07-27,12-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 42 min
2022-07-27,12-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 41 min
2022-07-27,12-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 41 min
2022-07-27,12-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,30 min,27 - 41 min
2022-07-27,12-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 42 min
2022-07-27,12-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,30 min,27 - 41 min
2022-07-27,12-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 42 min
2022-07-27,12-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,30 min,27 - 42 min
2022-07-27,13-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 41 min
2022-07-27,13-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,30 min,27 - 42 min
2022-07-27,13-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 41 min
2022-07-27,13-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,30 min,27 - 42 min
2022-07-27,13-33,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 41 min
2022-07-27,13-34,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-27,13-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 42 min
2022-07-27,13-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,30 min,27 - 43 min
2022-07-27,14-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 41 min
2022-07-27,14-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,31 min,27 - 43 min
2022-07-27,14-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 42 min
2022-07-27,14-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,32 min,28 - 44 min
2022-07-27,14-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 42 min
2022-07-27,14-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,33 min,27 - 44 min
2022-07-27,14-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 42 min
2022-07-27,14-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,31 min,28 - 44 min
2022-07-27,15-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 42 min
2022-07-27,15-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,32 min,28 - 45 min
2022-07-27,15-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 43 min
2022-07-27,15-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,34 min,30 - 53 min
2022-07-27,15-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,32 min,27 - 43 min
2022-07-27,15-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,39 min,32 min - 1 hr 1 min
2022-07-27,15-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,33 min,27 - 44 min
2022-07-27,15-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",37.9 km,36 min,41 min,34 - 54 min
2022-07-27,16-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,34 min,28 - 48 min
2022-07-27,16-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",37.9 km,36 min,41 min,35 - 58 min
2022-07-27,16-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,37 min,28 - 50 min
2022-07-27,16-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",37.9 km,36 min,46 min,37 min - 1 hr 5 min
2022-07-27,16-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,38 min,29 - 54 min
2022-07-27,16-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",37.9 km,36 min,51 min,39 min - 1 hr 10 min
2022-07-27,16-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,41 min,29 - 55 min
2022-07-27,16-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",37.9 km,36 min,57 min,40 min - 1 hr 11 min
2022-07-27,17-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,41 min,29 - 57 min
2022-07-27,17-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,1 hr,42 min - 1 hr 19 min
2022-07-27,17-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,40 min,29 - 52 min
2022-07-27,17-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",37.0 km,36 min,53 min,40 min - 1 hr 4 min
2022-07-27,17-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,40 min,28 - 47 min
2022-07-27,17-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",37.7 km,36 min,49 min,38 min - 1 hr 1 min
2022-07-27,17-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,38 min,27 - 43 min
2022-07-27,17-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,43 min,35 min - 1 hr 2 min
2022-07-27,18-48,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,29 min,26 - 39 min
2022-07-27,18-49,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,28 min,26 - 38 min
2022-07-27,19-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,29 min,26 - 37 min
2022-07-27,19-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,28 min,26 - 36 min
2022-07-27,19-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,26 - 37 min
2022-07-27,19-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,25 - 35 min
2022-07-27,19-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,26 - 36 min
2022-07-27,19-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,25 - 35 min
2022-07-27,19-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,27 min,26 - 35 min
2022-07-27,19-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,26 min,25 - 35 min
2022-07-27,20-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,26 - 36 min
2022-07-27,20-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,26 min,25 - 35 min
2022-07-27,20-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,27 - 36 min
2022-07-27,20-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,26 - 35 min
2022-07-27,20-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",31.6 km,31 min,28 min,26 - 35 min
2022-07-27,20-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,25 - 34 min
2022-07-27,20-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,29 min,27 - 37 min
2022-07-27,20-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,26 min,25 - 35 min
2022-07-27,21-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,26 - 36 min
2022-07-27,21-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,26 - 34 min
2022-07-27,21-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,27 - 35 min
2022-07-27,21-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,26 min,25 - 34 min
2022-07-27,21-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,27 min,26 - 34 min
2022-07-27,21-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,26 min,26 - 33 min
2022-07-27,21-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,27 - 34 min
2022-07-27,21-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,26 min,25 - 33 min
2022-07-27,22-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,27 min,27 - 34 min
2022-07-27,22-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,25 - 33 min
2022-07-27,22-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,26 - 34 min
2022-07-27,22-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,25 - 33 min
2022-07-27,22-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,27 - 34 min
2022-07-27,22-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,26 min,25 - 32 min
2022-07-27,22-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,26 - 33 min
2022-07-27,22-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,25 - 32 min
2022-07-27,23-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,27 min,27 - 33 min
2022-07-27,23-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,26 - 32 min
2022-07-27,23-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,27 - 32 min
2022-07-27,23-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,26 - 32 min
2022-07-27,23-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,27 - 33 min
2022-07-27,23-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,26 min,26 - 31 min
2022-07-27,23-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,27 - 33 min
2022-07-27,23-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,26 min,26 - 31 min
2022-07-28,00-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,28 - 33 min
2022-07-28,00-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,26 - 32 min
2022-07-28,00-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,27 - 33 min
2022-07-28,00-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,26 - 31 min
2022-07-28,00-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-28,00-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,26 min,25 - 31 min
2022-07-28,00-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-28,00-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-28,01-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-28,01-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-28,01-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-28,01-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-28,01-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-28,01-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-28,01-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-28,01-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-28,02-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-28,02-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-28,02-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-28,02-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-28,02-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-28,02-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-28,02-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-28,02-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-28,03-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-28,03-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-28,03-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-28,03-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-28,03-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-28,03-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,26 - 33 min
2022-07-28,03-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-28,03-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,26 - 30 min
2022-07-28,04-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,26 - 31 min
2022-07-28,04-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-28,04-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,25 - 31 min
2022-07-28,04-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",33.5 km,32 min,28 min,26 - 33 min
2022-07-28,04-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,27 min,25 - 31 min
2022-07-28,04-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",33.4 km,31 min,28 min,26 - 32 min
2022-07-28,04-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,27 min,25 - 31 min
2022-07-28,04-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-28,05-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,26 - 31 min
2022-07-28,05-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,26 - 31 min
2022-07-28,05-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,27 min,27 - 32 min
